month_id,realm_code,mau,new_mau
2020-07-01 00:00:00,EU,933707,8163
2020-08-01 00:00:00,EU,978980,5071
2020-09-01 00:00:00,EU,935004,9131
2020-10-01 00:00:00,EU,1004423,5742
2020-11-01 00:00:00,EU,1114783,10370
2020-12-01 00:00:00,EU,1254354,6780
2021-01-01 00:00:00,EU,1226966,11295
2021-02-01 00:00:00,EU,1078061,8376
2021-03-01 00:00:00,EU,1082050,4882
2021-04-01 00:00:00,EU,1063099,7927
2021-05-01 00:00:00,EU,1002013,11091
2021-06-01 00:00:00,EU,889015,6640
2021-07-01 00:00:00,EU,872001,8683
2021-08-01 00:00:00,EU,941748,5205
2021-09-01 00:00:00,EU,882303,8839
2021-10-01 00:00:00,EU,892678,5293
2021-11-01 00:00:00,EU,964019,8643
2021-12-01 00:00:00,EU,1123441,5451
2022-01-01 00:00:00,EU,1101831,9600
2022-02-01 00:00:00,EU,957266,8291
2022-03-01 00:00:00,EU,901322,7763
2022-04-01 00:00:00,EU,887247,8210
2022-05-01 00:00:00,EU,839357,9206
2022-06-01 00:00:00,EU,800744,5018
2022-07-01 00:00:00,EU,797494,7603
2022-08-01 00:00:00,EU,823962,6261
2022-09-01 00:00:00,EU,1224598,7086
2022-10-01 00:00:00,EU,1463413,16699
2022-11-01 00:00:00,EU,1428127,15044
2022-12-01 00:00:00,EU,1687669,9842
2023-01-01 00:00:00,EU,1694634,18820
2023-02-01 00:00:00,EU,1609559,13933
2023-03-01 00:00:00,EU,1537361,10839
2023-04-01 00:00:00,EU,1454430,19115
2023-05-01 00:00:00,EU,1346340,16056
2023-06-01 00:00:00,EU,1293873,10796
2023-07-01 00:00:00,EU,1296860,14788
2020-07-01 00:00:00,NA,194536,1681
2020-08-01 00:00:00,NA,209137,1070
2020-09-01 00:00:00,NA,195387,1971
2020-10-01 00:00:00,NA,193491,1329
2020-11-01 00:00:00,NA,206061,1887
2020-12-01 00:00:00,NA,228151,1540
2021-01-01 00:00:00,NA,218752,2357
2021-02-01 00:00:00,NA,198043,2010
2021-03-01 00:00:00,NA,202958,831
2021-04-01 00:00:00,NA,195554,1676
2021-05-01 00:00:00,NA,199720,2221
2021-06-01 00:00:00,NA,185141,1638
2021-07-01 00:00:00,NA,182128,1662
2021-08-01 00:00:00,NA,190087,639
2021-09-01 00:00:00,NA,177940,1626
2021-10-01 00:00:00,NA,172159,980
2021-11-01 00:00:00,NA,176362,1381
2021-12-01 00:00:00,NA,197277,1239
2022-01-01 00:00:00,NA,199785,928
2022-02-01 00:00:00,NA,173560,1557
2022-03-01 00:00:00,NA,171769,1391
2022-04-01 00:00:00,NA,169676,1541
2022-05-01 00:00:00,NA,169405,1981
2022-06-01 00:00:00,NA,163978,1365
2022-07-01 00:00:00,NA,162460,1474
2022-08-01 00:00:00,NA,163678,1501
2022-09-01 00:00:00,NA,159883,1376
2022-10-01 00:00:00,NA,167849,1994
2022-11-01 00:00:00,NA,162858,1360
2022-12-01 00:00:00,NA,188869,1103
2023-01-01 00:00:00,NA,181133,2137
2023-02-01 00:00:00,NA,174137,1725
2023-03-01 00:00:00,NA,170517,1477
2023-04-01 00:00:00,NA,164403,2392
2023-05-01 00:00:00,NA,158360,2047
2023-06-01 00:00:00,NA,152727,1731
2023-07-01 00:00:00,NA,153384,1861
2020-07-01 00:00:00,SEA,165122,1574
2020-08-01 00:00:00,SEA,173639,1358
2020-09-01 00:00:00,SEA,162589,1475
2020-10-01 00:00:00,SEA,156319,1383
2020-11-01 00:00:00,SEA,156809,1724
2020-12-01 00:00:00,SEA,167283,1114
2021-01-01 00:00:00,SEA,171553,1814
2021-02-01 00:00:00,SEA,158521,1318
2021-03-01 00:00:00,SEA,155366,910
2021-04-01 00:00:00,SEA,159331,1314
2021-05-01 00:00:00,SEA,176955,3168
2021-06-01 00:00:00,SEA,164834,844
2021-07-01 00:00:00,SEA,161590,1633
2021-08-01 00:00:00,SEA,167184,422
2021-09-01 00:00:00,SEA,152637,1433
2021-10-01 00:00:00,SEA,147889,1242
2021-11-01 00:00:00,SEA,143991,1176
2021-12-01 00:00:00,SEA,156991,1193
2022-01-01 00:00:00,SEA,160858,76
2022-02-01 00:00:00,SEA,149626,1726
2022-03-01 00:00:00,SEA,149456,1349
2022-04-01 00:00:00,SEA,149260,1573
2022-05-01 00:00:00,SEA,154535,1914
2022-06-01 00:00:00,SEA,145882,1347
2022-07-01 00:00:00,SEA,141319,1443
2022-08-01 00:00:00,SEA,144223,1300
2022-09-01 00:00:00,SEA,142586,1509
2022-10-01 00:00:00,SEA,142986,2190
2022-11-01 00:00:00,SEA,133501,1342
2022-12-01 00:00:00,SEA,158684,1213
2023-01-01 00:00:00,SEA,155090,2409
2023-02-01 00:00:00,SEA,147621,1564
2023-03-01 00:00:00,SEA,146018,1672
2023-04-01 00:00:00,SEA,145720,2562
2023-05-01 00:00:00,SEA,147132,2178
2023-06-01 00:00:00,SEA,143544,1697
2023-07-01 00:00:00,SEA,141854,2377
